auction_id_64,date_time,user_tz_offset,creative_width,creative_height,media_type,fold_position,event_type,imp_type,payment_type,media_cost_cpm,revenue_type,media_cost,buyer_bid,ecp,eap,is_imp,is_learn,predict_type_rev,user_id_64,ip_address,ip_address_trunc,country,region,operating_system,browser,language,venue_id,seller_member_id,publisher_id,site_id,site_domain,tag_id,external_inv_id,reserve_price,seller_revenue_cpm,media_buy_rev_share_pct,pub_rule_id,seller_currency,publisher_currency,publisher_exchange_rate,serving_fees_cpm,serving_fees_revshare,buyer_member_id,advertiser_id,brand_id,advertiser_frequency,advertiser_recency,insertion_order_id,line_item_id,campaign_id,creative_id,creative_freq,creative_rec,cadence_modifier,can_convert,user_group_id,is_control,control_pct,control_creative_id,is_click,pixel_id,is_remarketing,post_click_conv,post_view_conv,post_click_revenue,post_view_revenue,order_id,external_data,pricing_type,booked_revenue,booked_revenue_adv_curr,commission_cpm,commission_revshare,auction_service_deduction,auction_service_fees,creative_overage_fees,clear_fees,buyer_currency,advertiser_currency,advertiser_exchange_rate,latitude,longitude,device_unique_id,device_id,carrier_id,deal_id,view_result,application_id,supply_type,sdk_version,ozone_id,billing_period_id,view_non_measurable_reason,external_uid,request_uuid,dma,city,mobile_app_instance_id,traffic_source_code,external_request_id,deal_type,ym_floor_id,ym_bias_id,is_filtered_request,age,gender,is_exclusive,bid_priority,custom_model_id,custom_model_last_modified,custom_model_leaf_name,device_type,postal_code,imps_for_budget_caps_pacing,hashed_user_id_64,latitude_trunc,longitude_trunc,partition_time_millis,split_id,tc_string,partner_fees,external_campaign_id,playback_method,video_context,player_size_id,error_code,personal_identifiers,device_make_id,postal_code_ext,extended_ids,segment_data_costs,feature_costs,fallback_ad_index,region_id
6.10860126147206E+018,1694972051,-4,1,1,64,0,50_pct,5,4,0,0,0,0,0,0,0,0,-1,3.24998892605696E+018,136.226.58.246,136.226.58.0,US,FL,137,8,1,0,3659,2063963,5911205,intechopen.com,24437115,0,0,0,0.5,2520250,USD,USD,1,0,0,3659,8609455,1,0,0,8852878,22426253,0,461291737,0,0,1,0,697,0,0,0,0,0,0,0,0,0,0,,,cpm,0,0,0,0,0,0,0,0,USD,USD,1,,,,0,1,0,1,---,0,---,0,24769298,0,,85dc7ec1-15d1-4caa-a8a3-b8dc3afc5dbb,528,183612,0,---,---,0,0,0,0,0,u,1,16,0,0,---,1,33132,0,,,,1694970000000,0,,0,,0,0,0,0,[],0,33132-1724,[],0,0,-1,3927
2.04826435302161E+018,1694971437,-4,1,1,64,0,served,5,4,0,0,0,0,0,0,0,0,-1,7.8542145908605E+018,98.243.37.195,98.243.37.0,US,MI,236,8,1,0,3659,2063963,5911205,intechopen.com,24437115,0,0,0,0.5,2520250,USD,USD,1,0,0,3659,8609455,1,0,0,8852878,22426253,0,461291737,0,0,1,0,581,0,0,0,0,0,0,0,0,0,0,,,cpm,0,0,0,0,0,0,0,0,USD,USD,1,,,,0,1,0,1,---,0,---,0,24769298,0,,843b792e-ea93-416b-9b64-f91c2c96bce0,505,191364,0,---,---,0,0,0,0,0,u,1,16,0,0,---,1,48220,0,,,,1694970000000,0,,0,,0,0,0,0,[],0,48220-3241,[],0,0,-1,3940
1.04117877400979E+018,1694971547,-4,1,1,64,0,served,5,4,0,0,0,0,0,0,0,0,-1,0,172.226.168.26,172.226.168.0,US,GA,464,9,1,0,3659,2063963,5911205,intechopen.com,24437115,0,0,0,0.5,2520250,USD,USD,1,0,0,3659,8609455,1,-1,-1,8852878,22426253,0,461291737,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,,,cpm,0,0,0,0,0,0,0,0,USD,USD,1,,,,301,1,0,1,---,1,---,0,24769298,0,,08a9e966-a33c-4b3b-8ca9-8cc81c368428,524,183861,0,---,---,0,0,0,0,0,u,1,16,0,0,---,2,30349,0,,,,1694970000000,0,,0,,0,0,0,0,[],26,30349-2947,[],0,0,-1,3928
1.04117877400979E+018,1694971740,-4,1,1,64,0,100_pct,5,4,0,0,0,0,0,0,0,0,-1,0,172.226.168.26,172.226.168.0,US,GA,464,9,1,0,3659,2063963,5911205,intechopen.com,24437115,0,0,0,0.5,2520250,USD,USD,1,0,0,3659,8609455,1,-1,-1,8852878,22426253,0,461291737,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,,,cpm,0,0,0,0,0,0,0,0,USD,USD,1,,,,301,1,0,1,---,1,---,0,24769298,0,,08a9e966-a33c-4b3b-8ca9-8cc81c368428,524,183861,0,---,---,0,0,0,0,0,u,1,16,0,0,---,2,30349,0,,,,1694970000000,0,,0,,0,0,0,0,[],26,30349-2947,[],0,0,-1,3928
1.81378624627039E+018,1694972021,-7,1,1,64,0,served,5,4,0,0,0,0,0,0,0,0,-1,4.17877445600236E+018,99.167.85.199,99.167.85.0,US,CA,236,8,1,0,3659,2063963,5911205,intechopen.com,24437115,0,0,0,0.5,2520250,USD,USD,1,0,0,3659,8609455,1,0,0,8852878,22426253,0,461291737,0,0,1,0,979,0,0,0,0,0,0,0,0,0,0,,,cpm,0,0,0,0,0,0,0,0,USD,USD,1,,,,0,1,0,1,---,0,---,0,24769298,0,,4bedf861-c344-41f8-8f39-18769f270dec,803,181953,0,---,---,0,0,0,0,0,u,1,16,0,0,---,1,90034,0,,,,1694970000000,0,,0,,0,0,0,0,[],0,90034-1060,[],0,0,-1,3922
2.45492378465789E+018,1694973019,-6,1,1,64,0,served,5,4,0,0,0,0,0,0,0,0,-1,0,174.27.140.110,174.27.140.0,US,ID,449,9,1,0,3659,2063963,5911205,intechopen.com,24437115,0,0,0,0.5,2520250,USD,USD,1,0,0,3659,8609455,1,-1,-1,8852878,22426253,0,461291737,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,,,cpm,0,0,0,0,0,0,0,0,USD,USD,1,,,,301,1,0,1,---,1,---,0,24769298,0,,de0214e4-c2a1-41ef-b484-a9b4f538bf19,757,185644,0,---,---,0,0,0,0,0,u,1,16,0,0,---,2,83646,0,,,,1694970000000,0,,0,,0,0,0,0,[],26,83646-3260,[],0,0,-1,3930
5.5938979401834E+018,1694970021,-7,1,1,64,0,25_pct,5,4,0,0,0,0,0,0,0,0,-1,0,104.28.111.173,104.28.111.0,US,AZ,405,9,1,0,3659,2063963,5911205,intechopen.com,24437115,0,0,0,0.5,2520250,USD,USD,1,0,0,3659,8609455,1,-1,-1,8852878,22426253,0,461291737,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,,,cpm,0,0,0,0,0,0,0,0,USD,USD,1,,,,301,1,0,1,---,1,---,0,24769298,0,,1baf8fdd-184e-4c6a-975e-dcff991380cc,753,181240,0,---,---,0,0,0,0,0,u,1,16,0,0,---,2,85032,0,,,,1694970000000,0,,0,,0,0,0,0,[],26,85032-5204,[],0,0,-1,3920
7.93730580413366E+018,1694972865,-4,1,1,64,0,100_pct,5,4,0,0,0,0,0,0,0,0,-1,0,104.28.57.245,104.28.57.0,US,NY,464,9,1,0,3659,2063963,5911205,intechopen.com,24437115,0,0,0,0.5,2520250,USD,USD,1,0,0,3659,8609455,1,-1,-1,8852878,22426253,0,461291737,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,,,cpm,0,0,0,0,0,0,0,0,USD,USD,1,,,,301,1,0,1,---,1,---,0,24769298,0,,d5252f62-ba48-44d0-81f2-8569e68aca20,501,198423,0,---,---,0,0,0,0,0,u,1,16,0,0,---,2,10025,0,,,,1694970000000,0,,0,,0,0,0,0,[],26,10025-4919,[],0,0,-1,3950
7.93730580413366E+018,1694972672,-4,1,1,64,0,served,5,4,0,0,0,0,0,0,0,0,-1,0,104.28.57.245,104.28.57.0,US,NY,464,9,1,0,3659,2063963,5911205,intechopen.com,24437115,0,0,0,0.5,2520250,USD,USD,1,0,0,3659,8609455,1,-1,-1,8852878,22426253,0,461291737,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,,,cpm,0,0,0,0,0,0,0,0,USD,USD,1,,,,301,1,0,1,---,1,---,0,24769298,0,,d5252f62-ba48-44d0-81f2-8569e68aca20,501,198423,0,---,---,0,0,0,0,0,u,1,16,0,0,---,2,10025,0,,,,1694970000000,0,,0,,0,0,0,0,[],26,10025-4919,[],0,0,-1,3950
9.89475482644232E+017,1694971555,-5,1,1,64,0,served,5,4,0,0,0,0,0,0,0,0,-1,3.24458757699199E+018,104.28.103.21,104.28.103.0,US,IL,421,9,1,0,3659,2063963,5911205,intechopen.com,24437115,0,0,0,0.5,2520250,USD,USD,1,0,0,3659,8609455,1,0,0,8852878,22426253,0,461291737,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,,,cpm,0,0,0,0,0,0,0,0,USD,USD,1,,,,301,1,0,1,---,1,---,0,24769298,0,,3e903b71-99f4-4d52-a867-19d15ebc4e2d,602,185967,0,---,---,0,0,0,0,0,u,1,16,0,0,---,2,60629,0,,,,1694970000000,0,,0,,0,0,0,0,[],26,60629-3728,[],0,0,-1,3931
